 The system contains         2916  particles.
 Step; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
          35 ;   342.51253120696316      ;  -24298.593647946374      ;  -23956.081116739409      ;   9.3583311958236184      ;   2.9786245276703953E-031 ;  0.11088885938383565      ;   6.4166880417638184E-002
          36 ;   341.42454901261408      ;  -24297.505268058834      ;  -23956.080719046222      ;   9.3286046988864140      ;   7.0862683545998826E-031 ;  0.11054117641841181      ;   6.7139530111358647E-002
          37 ;   340.30872296296462      ;  -24296.388659966586      ;  -23956.079937003622      ;   9.2981174355657110      ;   1.1926082916136670E-030 ;  0.11018448282274579      ;   7.0188256443428854E-002
          38 ;   339.16528532974132      ;  -24295.244695921880      ;  -23956.079410592138      ;   9.2668757521278398      ;   1.1567468122770251E-031 ;  0.10981813937220257      ;   7.3312424787216002E-002
          39 ;   337.99447431487010      ;  -24294.074126112006      ;  -23956.079651797136      ;   9.2348861568675638      ;   1.1893551476009511E-030 ;  0.10944363397638558      ;   7.6511384313243669E-002
          40 ;   336.79653401841057      ;  -24292.876170673033      ;  -23956.079636654624      ;   9.2021553192319701      ;   4.9309519640105745E-031 ;  0.10906034920491768      ;   7.9784468076802950E-002
          41 ;   335.57171441022234      ;  -24291.650951578562      ;  -23956.079237168338      ;   9.1686900690463116      ;   1.4063642741200476E-031 ;  0.10866836516008745      ;   8.3130993095368866E-002
          42 ;   334.32027130057952      ;  -24290.399492616987      ;  -23956.079221316406      ;   9.1344973957111204      ;   6.1275895011902493E-032 ;  0.10826776431365850      ;   8.6550260428887915E-002
          43 ;   333.04246630794307      ;  -24289.121799416916      ;  -23956.079333108974      ;   9.0995844473216696      ;   6.9486766434426370E-031 ;  0.10785863130929095      ;   9.0041555267833084E-002
          44 ;   331.73856682421018      ;  -24287.817627386885      ;  -23956.079060562675      ;   9.0639585297184908      ;   4.1221323878717150E-032 ;  0.10744105266464619      ;   9.3604147028150897E-002
          45 ;   330.40884597777341      ;  -24286.487505650810      ;  -23956.078659673036      ;   9.0276271054780537      ;   1.2626166871911412E-030 ;  0.10701511611156594      ;   9.7237289452194675E-002
          46 ;   329.05358259917909      ;  -24285.132353018242      ;  -23956.078770419062      ;   8.9905977929744676      ;   1.0875093005414025E-030 ;  0.10658091160254812      ;  0.10094022070255326     
          47 ;   327.67306118332141      ;  -24283.751558019900      ;  -23956.078496836577      ;   8.9528783653465283      ;   9.2788695864856742E-031 ;  0.10613853140107435      ;  0.10471216346534717     
          48 ;   326.26757185160716      ;  -24282.345282779188      ;  -23956.077710927580      ;   8.9144767494639510      ;   1.3528341708121197E-030 ;  0.10568806867186434      ;  0.10855232505360490     
          49 ;   324.83741031039312      ;  -24280.914590981025      ;  -23956.077180670633      ;   8.8754010247917847      ;   1.1160058976209755E-031 ;  0.10522961928442277      ;  0.11245989752082153     
          50 ;   323.38287781205190      ;  -24279.459655883944      ;  -23956.076778071892      ;   8.8356594223266143      ;   3.4083709280723389E-031 ;  0.10476328069005675      ;  0.11643405776733862     
          51 ;   321.90428111322535      ;  -24277.980656252737      ;  -23956.076375139513      ;   8.7952603234559543      ;   4.2720879286162176E-031 ;  0.10428915167377867      ;  0.12047396765440455     
          52 ;   320.40193242343150      ;  -24276.478672273497      ;  -23956.076739850065      ;   8.7542122585540394      ;   3.9521383584337205E-031 ;  0.10380733269968762      ;  0.12457877414459606     
          53 ;   318.87614936728340      ;  -24274.953509587976      ;  -23956.077360220694      ;   8.7125239059495563      ;   5.1353622492749022E-031 ;  0.10331792633007475      ;  0.12874760940504437     
          54 ;   317.32725493783255      ;  -24273.404851214615      ;  -23956.077596276780      ;   8.6702040906508611      ;   9.5509124748887921E-031 ;  0.10282103691815027      ;  0.13297959093491385     
          55 ;   315.75557744296026      ;  -24271.832641476642      ;  -23956.077064033681      ;   8.6272617828812521      ;   3.7021594544912243E-030 ;  0.10231677049645332      ;  0.13727382171187474     
