 The system contains         2916  particles.
 Step; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
         217 ;   64.081836412461854      ;  -24020.129292469326      ;  -23956.047456056865      ;   1.7508820675002970      ;   6.0031852254641066E-031 ;   2.1246350422096192E-002 ;  0.82491179324997033     
         218 ;   64.096984975298952      ;  -24020.144708909964      ;  -23956.047723934666      ;   1.7512959655485545      ;   1.0787866492317620E-031 ;   2.1251180308288313E-002 ;  0.82487040344514462     
         219 ;   64.137910945786729      ;  -24020.185903140748      ;  -23956.047992194959      ;   1.7524141692679498      ;   5.9525039100439964E-032 ;   2.1264316568741351E-002 ;  0.82475858307320504     
         220 ;   64.204418432006108      ;  -24020.253063337848      ;  -23956.048644905841      ;   1.7542313263829008      ;   3.4623151707141156E-031 ;   2.1285697328793082E-002 ;  0.82457686736170999     
         221 ;   64.296304663075603      ;  -24020.344578659828      ;  -23956.048273996752      ;   1.7567418966667212      ;   2.6646221991047897E-031 ;   2.1314728225168392E-002 ;  0.82432581033332786     
         222 ;   64.413360236983564      ;  -24020.462415702899      ;  -23956.049055465915      ;   1.7599401587130403      ;   2.0880667360979392E-031 ;   2.1352404835271909E-002 ;  0.82400598412869597     
         223 ;   64.555369114373946      ;  -24020.606102449296      ;  -23956.050733334923      ;   1.7638202097660141      ;   3.8931506445411872E-031 ;   2.1398122522977708E-002 ;  0.82361797902339862     
         224 ;   64.722108540907485      ;  -24020.773368205322      ;  -23956.051259664415      ;   1.7683759635990313      ;   3.0922653953393916E-030 ;   2.1451807983441623E-002 ;  0.82316240364009685     
         225 ;   64.913349321772174      ;  -24020.963215717282      ;  -23956.049866395511      ;   1.7736011580150519      ;   7.8147599834511507E-031 ;   2.1513388836700783E-002 ;  0.82263988419849476     
         226 ;   65.128855893094013      ;  -24021.176561484011      ;  -23956.047705590918      ;   1.7794893567977339      ;   4.2762654001176750E-031 ;   2.1582788766329998E-002 ;  0.82205106432022657     
         227 ;   65.368386573061770      ;  -24021.416491607179      ;  -23956.048105034119      ;   1.7860339565728136      ;   2.5404479319874029E-031 ;   2.1659929372627298E-002 ;  0.82139660434271866     
         228 ;   65.631693729600102      ;  -24021.679558564105      ;  -23956.047864834505      ;   1.7932281913893711      ;   1.4195188511784703E-031 ;   2.1744730258664361E-002 ;  0.82067718086106289     
         229 ;   65.918523734319507      ;  -24021.963588810399      ;  -23956.045065076079      ;   1.8010651314616215      ;   2.2261491350391547E-031 ;   2.1837109976563292E-002 ;  0.81989348685383789     
         230 ;   66.228617292351529      ;  -24022.274466846611      ;  -23956.045849554259      ;   1.8095376921808715      ;   1.7163762505351452E-031 ;   2.1935202259104648E-002 ;  0.81904623078191285     
         231 ;   66.561709432801507      ;  -24022.607063876625      ;  -23956.045354443824      ;   1.8186386338546614      ;   2.3352423998013799E-031 ;   2.2041188250834044E-002 ;  0.81813613661453388     
         232 ;   66.917529634884986      ;  -24022.963413214547      ;  -23956.045883579663      ;   1.8283605651531398      ;   5.3389045121011606E-031 ;   2.2155812223052372E-002 ;  0.81716394348468602     
         233 ;   67.295802057188197      ;  -24023.342855219908      ;  -23956.047053162718      ;   1.8386959493730559      ;   4.9924285345161252E-031 ;   2.2277668856999874E-002 ;  0.81613040506269441     
         234 ;   67.696245591548944      ;  -24023.741908659100      ;  -23956.045663067551      ;   1.8496371059099230      ;   3.4791131881592294E-031 ;   2.2406225156542572E-002 ;  0.81503628940900774     
         235 ;   68.118574120064196      ;  -24024.165791209645      ;  -23956.047217089581      ;   1.8611762172801358      ;   2.7830365090736851E-031 ;   2.2542289164513986E-002 ;  0.81388237827198640     
         236 ;   68.562496457921441      ;  -24024.610371937117      ;  -23956.047875479195      ;   1.8733053275589715      ;   4.3417544897914831E-031 ;   2.2682550971651148E-002 ;  0.81266946724410283     
         237 ;   69.027716611252373      ;  -24025.077018742544      ;  -23956.049302131290      ;   1.8860163494258240      ;   1.3696061616190745E-030 ;   2.2832451452782218E-002 ;  0.81139836505741758     
         238 ;   69.513933925600568      ;  -24025.564662927536      ;  -23956.050729001934      ;   1.8993010682207250      ;   9.9843054941883510E-032 ;   2.2989115949383569E-002 ;  0.81006989317792755     
         239 ;   70.020843356693277      ;  -24026.071463563152      ;  -23956.050620206457      ;   1.9131511493425328      ;   2.7652056406953902E-031 ;   2.3148041731621518E-002 ;  0.80868488506574665     
         240 ;   70.548135529164995      ;  -24026.600055232302      ;  -23956.051919703135      ;   1.9275581398534112      ;   1.2862647589380684E-030 ;   2.3317974476973251E-002 ;  0.80724418601465886     
         241 ;   71.095496838315611      ;  -24027.148844346531      ;  -23956.053347508216      ;   1.9425134712591281      ;   3.4664717961374285E-031 ;   2.3494371617206144E-002 ;  0.80574865287408715     
         242 ;   71.662609518019053      ;  -24027.715337096670      ;  -23956.052727578652      ;   1.9580084613644941      ;   6.9918873023667917E-032 ;   2.3677131217476926E-002 ;  0.80419915386355056     
         243 ;   72.249151856264987      ;  -24028.300619729358      ;  -23956.051467873094      ;   1.9740343201625230      ;   2.1066302306047702E-031 ;   2.3866150517830281E-002 ;  0.80259656798374768     
         244 ;   72.854798441035911      ;  -24028.903854804499      ;  -23956.049056363463      ;   1.9905821565524302      ;   6.5308669137831184E-031 ;   2.4061321272407191E-002 ;  0.80094178434475705     
         245 ;   73.479220287155471      ;  -24029.524201488137      ;  -23956.044981200983      ;   2.0076429818054589      ;   4.5396996012755913E-031 ;   2.4262539877722766E-002 ;  0.79923570181945414     
         246 ;   74.122084976385636      ;  -24030.165167138039      ;  -23956.043082161654      ;   2.0252077133926978      ;   2.7611423891904202E-031 ;   2.4469698475345060E-002 ;  0.79747922866073018     
         247 ;   74.783056696968757      ;  -24030.827183827463      ;  -23956.044127130495      ;   2.0432671760654735      ;   3.2196951800328476E-031 ;   2.4682688384322523E-002 ;  0.79567328239345270     
         248 ;   75.461796502482841      ;  -24031.504408949335      ;  -23956.042612446850      ;   2.0618121089279491      ;   9.1296216565759344E-032 ;   2.4901401028873834E-002 ;  0.79381878910720505     
         249 ;   76.157962475354054      ;  -24032.200468320392      ;  -23956.042505845038      ;   2.0808331699047078      ;   8.7429652142417196E-031 ;   2.5125724945321275E-002 ;  0.79191668300952922     
         250 ;   76.871209778800718      ;  -24032.912585221409      ;  -23956.041375442608      ;   2.1003209371599993      ;   7.4284810408884850E-031 ;   2.5355547867470227E-002 ;  0.78996790628400004     
         251 ;   77.601190701722189      ;  -24033.641563889520      ;  -23956.040373187796      ;   2.1202659103242198      ;   8.6144597512763197E-032 ;   2.5590759656862323E-002 ;  0.78797340896757806     
         252 ;   78.347554953281616      ;  -24034.388589947175      ;  -23956.041034993894      ;   2.1406585185426783      ;   5.2746885192512313E-032 ;   2.5831245501457288E-002 ;  0.78593414814573215     
         253 ;   79.109950153076596      ;  -24035.152031211695      ;  -23956.042081058618      ;   2.1614891338683302      ;   1.6027145987070482E-032 ;   2.6072645034698128E-002 ;  0.78385108661316694     
         254 ;   79.888021526153963      ;  -24035.929612809505      ;  -23956.041591283352      ;   2.1827480629287894      ;   2.0231655574270128E-031 ;   2.6318882580560192E-002 ;  0.78172519370712101     
         255 ;   80.681411914209477      ;  -24036.721361521842      ;  -23956.039949607632      ;   2.2044255472323346      ;   1.4842391127226869E-031 ;   2.6574612900274151E-002 ;  0.77955744527676651     
         256 ;   81.489762324228138      ;  -24037.530374329388      ;  -23956.040612005159      ;   2.2265117781581849      ;   1.0374325461551042E-030 ;   2.6835158374373884E-002 ;  0.77734882218418155     
         257 ;   82.312712186326920      ;  -24038.352706626123      ;  -23956.039994439798      ;   2.2489969040014324      ;   8.7330689823957081E-032 ;   2.7100402986341171E-002 ;  0.77510030959985676     
         258 ;   83.149899280172846      ;  -24039.191708279926      ;  -23956.041808999755      ;   2.2718710279625940      ;   4.1381917524013441E-031 ;   2.7370230275646668E-002 ;  0.77281289720374058     
         259 ;   84.000959377238871      ;  -24040.042791086446      ;  -23956.041831709208      ;   2.2951241983731125      ;   3.0661402285018538E-030 ;   2.7642957738258644E-002 ;  0.77048758016268870     
         260 ;   84.865527029800816      ;  -24040.909941366543      ;  -23956.044414336742      ;   2.3187464302528027      ;   2.7564567068155425E-030 ;   2.7919622550113054E-002 ;  0.76812535697471973     
         261 ;   85.743235987199000      ;  -24041.787545113570      ;  -23956.044309126370      ;   2.3427277166831959      ;   3.2955461740428637E-033 ;   2.8202532755377031E-002 ;  0.76572722833168039     
         262 ;   86.633718612351274      ;  -24042.678690618155      ;  -23956.044972005802      ;   2.3670580128651655      ;   4.5302470916186809E-031 ;   2.8488491881376300E-002 ;  0.76329419871348347     
         263 ;   87.536606347647350      ;  -24043.582497313913      ;  -23956.045890966267      ;   2.3917272488483658      ;   1.2411046831441560E-030 ;   2.8778214163465696E-002 ;  0.76082727511516346     
         264 ;   88.451530110139018      ;  -24044.499107973876      ;  -23956.047577863737      ;   2.4167253403288562      ;   5.6195236112109057E-031 ;   2.9073144499123422E-002 ;  0.75832746596711442     
         265 ;   89.378119655861838      ;  -24045.425720453339      ;  -23956.047600797476      ;   2.4420421712807210      ;   1.5849682291841235E-031 ;   2.9371826562408321E-002 ;  0.75579578287192795     
         266 ;   90.316004236594253      ;  -24046.360940038558      ;  -23956.044935801965      ;   2.4676676119004295      ;   2.0865695026546437E-031 ;   2.9672821906587085E-002 ;  0.75323323880995707     
         267 ;   91.264812875403223      ;  -24047.310539536687      ;  -23956.045726661283      ;   2.4935915261354609      ;   5.6446978408505456E-032 ;   2.9978646449472884E-002 ;  0.75064084738645387     
         268 ;   92.224174369578236      ;  -24048.268899981464      ;  -23956.044725611886      ;   2.5198037717644688      ;   4.0160171092105376E-031 ;   3.0287863579256578E-002 ;  0.74801962282355317     
         269 ;   93.193717410448983      ;  -24049.236290009805      ;  -23956.042572599355      ;   2.5462942036710072      ;   1.8341145903007589E-030 ;   3.0598632030882082E-002 ;  0.74537057963289932     
         270 ;   94.173070628247089      ;  -24050.215538051812      ;  -23956.042467423566      ;   2.5730526750692766      ;   9.2069513702350914E-031 ;   3.0912668056584110E-002 ;  0.74269473249307238     
         271 ;   95.161862932254607      ;  -24051.204225246242      ;  -23956.042362313987      ;   2.6000690467978558      ;   2.6442876548222815E-031 ;   3.1231281260124734E-002 ;  0.73999309532021440     
         272 ;   96.159723674130674      ;  -24052.203004788662      ;  -23956.043281114533      ;   2.6273331917822151      ;   3.2089003067815112E-031 ;   3.1552902398210611E-002 ;  0.73726668082177849     
         273 ;   97.166282518785948      ;  -24053.211250361284      ;  -23956.044967842499      ;   2.6548349915066689      ;   2.6319606980257225E-031 ;   3.1877317535070095E-002 ;  0.73451650084933306     
         274 ;   98.181169603460489      ;  -24054.228976047194      ;  -23956.047806443734      ;   2.6825643403607966      ;   1.3958493678261300E-032 ;   3.2204407737011706E-002 ;  0.73174356596392032     
         275 ;   99.204015750459007      ;  -24055.250821053618      ;  -23956.046805303158      ;   2.7105111514519220      ;   3.5803572749897229E-031 ;   3.2534054366961024E-002 ;  0.72894888485480780     
         276 ;   100.23445264282181      ;  -24056.281152631444      ;  -23956.046699988623      ;   2.7386653614048990      ;   9.1412934195884330E-031 ;   3.2866138093870324E-002 ;  0.72613346385951005     
         277 ;   101.27211287705566      ;  -24057.318451469320      ;  -23956.046338592263      ;   2.7670169318028548      ;   1.0513008725475136E-030 ;   3.3200538996385212E-002 ;  0.72329830681971452     
         278 ;   102.31662986831357      ;  -24058.364654922272      ;  -23956.048025053959      ;   2.7955558465964576      ;   1.5365331509229815E-032 ;   3.3537140319855052E-002 ;  0.72044441534035419     
         279 ;   103.36763840880113      ;  -24059.416581799356      ;  -23956.048943390557      ;   2.8242721273610245      ;   2.8287189865539176E-031 ;   3.3875822771194469E-002 ;  0.71757278726389750     
         280 ;   104.42477474142822      ;  -24060.473740455716      ;  -23956.048965714290      ;   2.8531558353088804      ;   1.2112871727749728E-031 ;   3.4216469981291200E-002 ;  0.71468441646911196     
         281 ;   105.48767615760541      ;  -24061.538840090565      ;  -23956.051163932960      ;   2.8821970603001072      ;   1.9598519649843700E-031 ;   3.4558963870511446E-002 ;  0.71178029396998932     
         282 ;   106.55598152051810      ;  -24062.607935582142      ;  -23956.051954061622      ;   2.9113859351397569      ;   8.9318799904307093E-032 ;   3.4903189090713028E-002 ;  0.70886140648602436     
         283 ;   107.62933160618795      ;  -24063.682971503651      ;  -23956.053639897462      ;   2.9407126448965295      ;   1.3870682057288734E-031 ;   3.5247171859550785E-002 ;  0.70592873551034707     
         284 ;   108.70736893176918      ;  -24064.760646654759      ;  -23956.053277722989      ;   2.9701674222113863      ;   5.8770638366095263E-032 ;   3.5594168790526154E-002 ;  0.70298325777886139     
         285 ;   109.78973788153866      ;  -24065.843677302062      ;  -23956.053939420523      ;   2.9997405507399244      ;   5.8772566886319650E-032 ;   3.5942938317800786E-002 ;  0.70002594492600756     
         286 ;   110.87608471108412      ;  -24066.929277795261      ;  -23956.053193084179      ;   3.0294223652668104      ;   4.9304426024749194E-032 ;   3.6288796454562518E-002 ;  0.69705776347331894     
         287 ;   111.96605741863554      ;  -24068.016968074513      ;  -23956.050910655878      ;   3.0592032481902192      ;   9.4025402556984176E-031 ;   3.6639124643686474E-002 ;  0.69407967518097813     
         288 ;   113.05930632254869      ;  -24069.109598243653      ;  -23956.050291921103      ;   3.0890736453001817      ;   7.1198985539676229E-031 ;   3.6991460668225909E-002 ;  0.69109263546998179     
         289 ;   114.15548432374220      ;  -24070.203365490561      ;  -23956.047881166818      ;   3.1190240729490495      ;   7.5878963772586553E-031 ;   3.7345078058112831E-002 ;  0.68809759270509507     
         290 ;   115.25424643168172      ;  -24071.301892658237      ;  -23956.047646226554      ;   3.1490451051001513      ;   1.1558548149544308E-031 ;   3.7697217252721862E-002 ;  0.68509548948998489     
         291 ;   116.35525005724206      ;  -24072.404452992716      ;  -23956.049202935475      ;   3.1791273813295433      ;   7.6419139142155542E-032 ;   3.8052044533710666E-002 ;  0.68208726186704571     
         292 ;   117.45815527440921      ;  -24073.506482881414      ;  -23956.048327607004      ;   3.2092616139763925      ;   1.5164870450583456E-031 ;   3.8407472058596834E-002 ;  0.67907383860236070     
         293 ;   118.56262507351077      ;  -24074.609949135709      ;  -23956.047324062198      ;   3.2394385950618867      ;   6.6000674672346122E-031 ;   3.8762167827634558E-002 ;  0.67605614049381135     
         294 ;   119.66832508091723      ;  -24075.718357313293      ;  -23956.050032232375      ;   3.2696491886307446      ;   8.3170799993170670E-032 ;   3.9118447323605185E-002 ;  0.67303508113692556     
         295 ;   120.77492341789241      ;  -24076.826511705385      ;  -23956.051588287493      ;   3.2998843268946461      ;   2.1379830314096632E-031 ;   3.9475087000503374E-002 ;  0.67001156731053535     
         296 ;   121.88209106560730      ;  -24077.934211324107      ;  -23956.052120258501      ;   3.3301350202053559      ;   5.3797487393271045E-031 ;   3.9831896264176977E-002 ;  0.66698649797946441     
         297 ;   122.98950208242663      ;  -24079.042665966615      ;  -23956.053163884189      ;   3.3603923629915586      ;   2.3215305203874894E-031 ;   4.0188770902141485E-002 ;  0.66396076370084411     
         298 ;   124.09683413271381      ;  -24080.146817588397      ;  -23956.049983455683      ;   3.3906475482071801      ;   1.5615991176941582E-031 ;   4.0545606750579027E-002 ;  0.66093524517928204     
         299 ;   125.20376799302196      ;  -24081.252106837419      ;  -23956.048338844397      ;   3.4208918538392434      ;   4.2327095683228564E-031 ;   4.0902299541201725E-002 ;  0.65791081461607570     
         300 ;   126.30998721286092      ;  -24082.357705213803      ;  -23956.047718000940      ;   3.4511166336391490      ;   5.3921842479476658E-031 ;   4.1257446576078480E-002 ;  0.65488833663608514     
         301 ;   127.41517878779977      ;  -24083.461635637461      ;  -23956.046456849661      ;   3.4813133355135752      ;   2.8757364721621418E-031 ;   4.1613568630814217E-002 ;  0.65186866644864250     
         302 ;   128.51903321683019      ;  -24084.566020778151      ;  -23956.046987561320      ;   3.5114735030917985      ;   1.1748773630636522E-031 ;   4.1969246248801710E-002 ;  0.64885264969082013     
         303 ;   129.62124450021125      ;  -24085.667994451731      ;  -23956.046749951518      ;   3.5415887756668067      ;   1.4675258050849992E-031 ;   4.2324378831478368E-002 ;  0.64584112243331937     
         304 ;   130.72151005241199      ;  -24086.766358183027      ;  -23956.044848130616      ;   3.5716508858166645      ;   1.2847802654025738E-032 ;   4.2678456069689036E-002 ;  0.64283491141833360     
         305 ;   131.81953070801254      ;  -24087.864268850368      ;  -23956.044738142355      ;   3.6016516595657455      ;   3.5434721649815424E-031 ;   4.3031398142695312E-002 ;  0.63983483404342545     
         306 ;   132.91501153279600      ;  -24088.958743429728      ;  -23956.043731896931      ;   3.6315830385458714      ;   4.5576842636593665E-031 ;   4.3384335676253674E-002 ;  0.63684169614541286     
         307 ;   134.00766125181525      ;  -24090.050514795748      ;  -23956.042853543931      ;   3.6614370643696068      ;   6.8223027693663301E-031 ;   4.3736345037533944E-002 ;  0.63385629356303930     
         308 ;   135.09719208923957      ;  -24091.141726907226      ;  -23956.044534817986      ;   3.6912058742544596      ;   3.1830152342620102E-031 ;   4.4087333478465378E-002 ;  0.63087941257455404     
         309 ;   136.18332025780484      ;  -24092.225312064849      ;  -23956.041991807044      ;   3.7208817143959272      ;   5.8515995072189138E-032 ;   4.4437209742664775E-002 ;  0.62791182856040728     
         310 ;   137.26576587496956      ;  -24093.308030536180      ;  -23956.042264661210      ;   3.7504569376766606      ;   1.3472541488574985E-031 ;   4.4785883482837373E-002 ;  0.62495430623233394     
         311 ;   138.34425285353302      ;  -24094.385765962485      ;  -23956.041513108950      ;   3.7799240006778723      ;   1.6008747575184838E-031 ;   4.5133264395220238E-002 ;  0.62200759993221277     
         312 ;   139.41850920964745      ;  -24095.462086410094      ;  -23956.043577200446      ;   3.8092754720950235      ;   9.2191452205980136E-031 ;   4.5478379972297076E-002 ;  0.61907245279049761     
         313 ;   140.48826735409889      ;  -24096.531348661945      ;  -23956.043081307846      ;   3.8385040406963786      ;   4.0473531963179370E-031 ;   4.5822151401762108E-002 ;  0.61614959593036212     
         314 ;   141.55326354525766      ;  -24097.595336615792      ;  -23956.042073070534      ;   3.8676025003761851      ;   3.1663437258489587E-031 ;   4.6163990011048477E-002 ;  0.61323974996238151     
         315 ;   142.61323809934635      ;  -24098.655710633651      ;  -23956.042472534304      ;   3.8965637558997490      ;   2.7788370563116100E-031 ;   4.6505421776424569E-002 ;  0.61034362441002510     
         316 ;   143.66793540877617      ;  -24099.710295157758      ;  -23956.042359748983      ;   3.9253808234044247      ;   2.1730325874780863E-031 ;   4.6842124536093363E-002 ;  0.60746191765955748     
         317 ;   144.71710446774239      ;  -24100.757559225105      ;  -23956.040454757363      ;   3.9540468447602493      ;   2.5930146100582436E-031 ;   4.7180107762281272E-002 ;  0.60459531552397505     
         318 ;   145.76049906101190      ;  -24101.801480342056      ;  -23956.040981281043      ;   3.9825550927281101      ;   2.3581193148756673E-031 ;   4.7516212947554551E-002 ;  0.60174449072718894     
         319 ;   146.79787667424355      ;  -24102.835672421716      ;  -23956.037795747470      ;   4.0108989411868654      ;   9.6035265932671731E-032 ;   4.7850361292487133E-002 ;  0.59891010588131344     
         320 ;   147.82899904930844      ;  -24103.867064926271      ;  -23956.038065876965      ;   4.0390718803061372      ;   2.8620813286522710E-031 ;   4.8182478454009393E-002 ;  0.59609281196938624     
         321 ;   148.85363243767182      ;  -24104.890432116317      ;  -23956.036799678644      ;   4.0670675234693636      ;   5.7095231815923796E-031 ;   4.8512485462536246E-002 ;  0.59329324765306368     
         322 ;   149.87154734853181      ;  -24105.909384529095      ;  -23956.037837180564      ;   4.0948796003922920      ;   3.5139938806748400E-031 ;   4.8838213507521801E-002 ;  0.59051203996077084     
         323 ;   150.88251929064401      ;  -24106.921905636562      ;  -23956.039386345918      ;   4.1225019773915559      ;   2.1555600317075836E-031 ;   4.9163826421728229E-002 ;  0.58774980226084439     
         324 ;   151.88632799217476      ;  -24107.927135252827      ;  -23956.040807260651      ;   4.1499286360690393      ;   5.9310150399838316E-031 ;   4.9487113743957881E-002 ;  0.58500713639309609     
         325 ;   152.88275775005388      ;  -24108.922425599481      ;  -23956.039667849429      ;   4.1771536828571021      ;   3.7827474204842270E-031 ;   4.9805763537389545E-002 ;  0.58228463171428979     
         326 ;   153.87159747601498      ;  -24109.909741779353      ;  -23956.038144303337      ;   4.2041713502765159      ;   2.0136415725536525E-031 ;   5.0123131119587397E-002 ;  0.57958286497234845     
         327 ;   154.85264085263373      ;  -24110.892461296891      ;  -23956.039820444257      ;   4.2309760011998421      ;   3.1967443910241447E-031 ;   5.0434363596923319E-002 ;  0.57690239988001579     
         328 ;   155.82568609789098      ;  -24111.868078285122      ;  -23956.042392187232      ;   4.2575621224186788      ;   3.2136415614983741E-031 ;   5.0747773946465728E-002 ;  0.57424378775813212     
         329 ;   156.79053578046523      ;  -24112.834603413685      ;  -23956.044067633218      ;   4.2839243195969745      ;   1.6638585813876259E-031 ;   5.1057825474619317E-002 ;  0.57160756804030255     
         330 ;   157.74699710267942      ;  -24113.790948007598      ;  -23956.043950904917      ;   4.3100573250018686      ;   2.5426165949040870E-031 ;   5.1363581924933434E-002 ;  0.56899426749981319     
         331 ;   158.69488208221270      ;  -24114.738715845851      ;  -23956.043833763637      ;   4.3359560024685297      ;   3.0833958431618436E-032 ;   5.1668855166924064E-002 ;  0.56640439975314705     
         332 ;   159.63400774483014      ;  -24115.677340101509      ;  -23956.043332356679      ;   4.3616153526660293      ;   2.3973383052246389E-032 ;   5.1971286460153872E-002 ;  0.56383846473339705     
         333 ;   160.56419540851272      ;  -24116.609586097307      ;  -23956.045390688796      ;   4.3870304935379147      ;   6.6151609925551743E-031 ;   5.2272650420957890E-002 ;  0.56129695064620855     
         334 ;   161.48527111399173      ;  -24117.531823896694      ;  -23956.046552782704      ;   4.4121966720655292      ;   8.1433169612186067E-031 ;   5.2566999346455853E-002 ;  0.55878033279344708     
         335 ;   162.39706580452284      ;  -24118.441836410664      ;  -23956.044770606142      ;   4.4371092691799028      ;   3.1990309374807527E-031 ;   5.2861957940105377E-002 ;  0.55628907308200970     
         336 ;   163.29941485204412      ;  -24119.342402936181      ;  -23956.042988084137      ;   4.4617637868151645      ;   7.9303967289445661E-032 ;   5.3152658860930319E-002 ;  0.55382362131848351     
         337 ;   164.19215863732336      ;  -24120.234259877590      ;  -23956.042101240266      ;   4.4861558637596666      ;   2.3802887602390130E-030 ;   5.3440243149188146E-002 ;  0.55138441362403334     
         338 ;   165.07514217190752      ;  -24121.115716443801      ;  -23956.040574271894      ;   4.5102812653266664      ;   7.6639493407090918E-031 ;   5.3724661772575968E-002 ;  0.54897187346733334     
         339 ;   165.94821500763263      ;  -24121.987773972909      ;  -23956.039558965276      ;   4.5341358808819008      ;   2.4111484192018252E-031 ;   5.4005387941945746E-002 ;  0.54658641191180990     
         340 ;   166.81123174267256      ;  -24122.851183045659      ;  -23956.039951302988      ;   4.5577157376701534      ;   1.2781273334087683E-031 ;   5.4281674324004471E-002 ;  0.54422842623298462     
         341 ;   167.66405138152004      ;  -24123.703882707840      ;  -23956.039831326321      ;   4.5810169833282721      ;   1.3383749347291273E-031 ;   5.4556112368314993E-002 ;  0.54189830166717279     
         342 ;   168.50653778318264      ;  -24124.548296828540      ;  -23956.041759045358      ;   4.6040358981310483      ;   1.2421254547038382E-031 ;   5.4827472376458262E-002 ;  0.53959641018689519     
         343 ;   169.33855955507067      ;  -24125.379174098340      ;  -23956.040614543268      ;   4.6267688920919596      ;   9.2145167938278801E-032 ;   5.5095363265670230E-002 ;  0.53732311079080408     
         344 ;   170.15999037627356      ;  -24126.199204225260      ;  -23956.039213848988      ;   4.6492125137959164      ;   3.3146523270512578E-032 ;   5.5359898985493518E-002 ;  0.53507874862040838     
         345 ;   170.97070872598525      ;  -24127.011209372282      ;  -23956.040500646297      ;   4.6713634429791444      ;   1.7352312599011000E-032 ;   5.5621380235858275E-002 ;  0.53286365570208560     
         346 ;   171.77059748429522      ;  -24127.812256680689      ;  -23956.041659196395      ;   4.6932184796217529      ;   3.0710536852399841E-031 ;   5.5878954719964923E-002 ;  0.53067815203782476     
         347 ;   172.55954418771631      ;  -24128.600057570638      ;  -23956.040513382923      ;   4.7147745509294232      ;   3.3569157897197557E-032 ;   5.6132109150557066E-002 ;  0.52852254490705763     
         348 ;   173.33744120433894      ;  -24129.376680624118      ;  -23956.039239419781      ;   4.7360287161190717      ;   1.6525949293740525E-032 ;   5.6382565547211320E-002 ;  0.52639712838809283     
         349 ;   174.10418584315502      ;  -24130.143174972694      ;  -23956.038989129538      ;   4.7569781694058699      ;   8.8392081308483451E-032 ;   5.6629406478891003E-002 ;  0.52430218305941301     
         350 ;   174.85967980353846      ;  -24130.897778412887      ;  -23956.038098609348      ;   4.7776202249616135      ;   2.4706782136848441E-031 ;   5.6871214004950425E-002 ;  0.52223797750383860     
         351 ;   175.60382917676691      ;  -24131.642572910267      ;  -23956.038743733501      ;   4.7979523169563105      ;   9.9686065397741316E-032 ;   5.7110734989826474E-002 ;  0.52020476830436890     
         352 ;   176.33654518525415      ;  -24132.372093712813      ;  -23956.035548527558      ;   4.8179720197559206      ;   3.9624527915028666E-031 ;   5.7345524126842046E-002 ;  0.51820279802440794     
         353 ;   177.05774326815825      ;  -24133.093424315561      ;  -23956.035681047404      ;   4.8376770229388013      ;   8.4477530864426879E-031 ;   5.7576664530966368E-002 ;  0.51623229770611989     
         354 ;   177.76734341512358      ;  -24133.804052584597      ;  -23956.036709169475      ;   4.8570651404144032      ;   7.2266211597669046E-031 ;   5.7803992353543478E-002 ;  0.51429348595855973     
         355 ;   178.46527120467678      ;  -24134.500960451998      ;  -23956.035689247321      ;   4.8761343387949472      ;   5.3297766543117514E-032 ;   5.8025618889049897E-002 ;  0.51238656612050526     
         356 ;   179.15145601619813      ;  -24135.187148989171      ;  -23956.035692972971      ;   4.8948826885418368      ;   3.6453673073399904E-032 ;   5.8246786905497519E-002 ;  0.51051173114581627     
         357 ;   179.82583184662357      ;  -24135.858840494715      ;  -23956.033008648090      ;   4.9133083862800797      ;   9.8528761314068337E-033 ;   5.8463534310595665E-002 ;  0.50866916137199203     
         358 ;   180.48833770979775      ;  -24136.523397568035      ;  -23956.035059858237      ;   4.9314097657096481      ;   6.9742624592875453E-031 ;   5.8677418078195168E-002 ;  0.50685902342903522     
         359 ;   181.13891677773498      ;  -24137.175387436375      ;  -23956.036470658641      ;   4.9491852741424998      ;   4.9047077423311972E-031 ;   5.8886250864289252E-002 ;  0.50508147258574998     
         360 ;   181.77751639020988      ;  -24137.811685658588      ;  -23956.034169268376      ;   4.9666334727646211      ;   5.5930772341727287E-031 ;   5.9090126567113488E-002 ;  0.50333665272353789     
         361 ;   182.40408838304293      ;  -24138.441331688497      ;  -23956.037243305454      ;   4.9837530456056385      ;   1.6100420983732900E-032 ;   5.9291856099344245E-002 ;  0.50162469543943611     
         362 ;   183.01858992191956      ;  -24139.054043271561      ;  -23956.035453349643      ;   5.0005428223209210      ;   2.8662601210933337E-031 ;   5.9489674221220798E-002 ;  0.49994571776790786     
         363 ;   183.62098209567733      ;  -24139.659381005258      ;  -23956.038398909583      ;   5.0170017397565312      ;   1.6794111179024830E-031 ;   5.9682292085460345E-002 ;  0.49829982602434686     
         364 ;   184.21123030754032      ;  -24140.251678627599      ;  -23956.040448320058      ;   5.0331288526387716      ;   6.5435983773742487E-032 ;   5.9872301337348180E-002 ;  0.49668711473612281     
         365 ;   184.78930452763385      ;  -24140.830649913161      ;  -23956.041345385529      ;   5.0489233404735350      ;   2.4752771887584491E-031 ;   6.0058366477550987E-002 ;  0.49510766595264655     
