 The system contains         2916  particles.
 Time;Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
   3.9999998989515007E-004    731.96383475431219        -24317.749184464781      ;  -23585.785349710470         19.999151461284420         5.8879667637525512E-031 ;  0.23666678019369797         4.2426935779049657E-005
   7.9999997979030013E-004    731.86979588949316        -24317.654760535712      ;  -23585.784964646220         19.996582075460335         1.7147074745084011E-030 ;  0.23664282136771286         1.7089622698329698E-004
   1.1999999696854502E-003    731.71192845197515        -24317.496891389892      ;  -23585.784962937916         19.992268727390634         8.9832347167336154E-032 ;  0.23659821564836636         3.8656363046829512E-004
   1.5999999595806003E-003    731.49026178636018        -24317.275094387896      ;  -23585.784832601537         19.986212218846003         1.0335971980113949E-030 ;  0.23653297242846782         6.8938905769988512E-004
   1.9999999494757503E-003    731.20483638928886        -24316.989410026057      ;  -23585.784573636767         19.978413656299750         2.5331605971410319E-031 ;  0.23644710476723382         1.0793171850125294E-003
   2.3999999393709004E-003    730.85570391291151        -24316.639889956135      ;  -23585.784186043224         19.968874451022664         1.0701935655856468E-031 ;  0.23634062939278366         1.5562774488667719E-003
   2.7999999292660505E-003    730.44292716988184        -24316.226724986082      ;  -23585.783797816199         19.957596319219448         5.3354230106541953E-031 ;  0.23621356644651603         2.1201840390275839E-003
   3.1999999191612005E-003    729.96658013990759        -24315.750117090694      ;  -23585.783536950788         19.944581282207700         5.1867169136587652E-031 ;  0.23606593992629044         2.7709358896149672E-003
   3.5999999090563506E-003    729.42674797770349        -24315.210279419756      ;  -23585.783531442052         19.929831666635209         2.9821109826408800E-031 ;  0.23589777701400139         3.5084166682395335E-003
   3.9999998989515007E-003    728.82352702248897        -24314.607052319774      ;  -23585.783525297284         19.913350104739457         1.0527032684610636E-030 ;  0.23570910927990527         4.3324947630271060E-003
   4.3999998888466507E-003    728.15702480902280        -24313.940031340622      ;  -23585.783006531601         19.895139534649111         6.4953242267084474E-032 ;  0.23549997106368070         5.2430232675444444E-003
   4.7999998787418008E-003    727.42736007980068        -24313.210231195018      ;  -23585.782871115218         19.875203200717301         5.6118269811638941E-031 ;  0.23527040091818435         6.2398399641349078E-003
   5.1999998686369509E-003    726.63466279882869        -24312.417397857822      ;  -23585.782735058994         19.853544653897938         5.1316918534643925E-032 ;  0.23502044069863942         7.3227673051030617E-003
   5.5999998585321009E-003    725.77907416685014        -24311.561800524389      ;  -23585.782726357538         19.830167752161753         2.0732675479516749E-030 ;  0.23475013595295299         8.4916123919123176E-003
   5.9999998484272510E-003    724.86074663779186        -24310.642951667265      ;  -23585.782205029474         19.805076660945659         8.4258616084386334E-031 ;  0.23445953624423277         9.7461669527170169E-003
   6.3999998383224010E-003    723.87984393611339        -24309.661910980754      ;  -23585.782067044642         19.778275853626763         1.9583299510236764E-031 ;  0.23414869420745885         1.1086207318661834E-002
   6.7999998282175511E-003    730.94557591661840        -24308.612457195959      ;  -23577.666881279340         19.971329987387882         2.9131790702829216E-031 ;  0.23643953696458381         1.4335006306058773E-003
   7.1999998181127012E-003    729.83333772627952        -24307.500079705958      ;  -23577.666741979680         19.940940753694285         3.7976485273769052E-032 ;  0.23608624558194483         2.9529623152857454E-003
   7.5999998080078512E-003    728.65837476072556        -24306.325232777675      ;  -23577.666858016950         19.908837716366758         2.1364243123556822E-031 ;  0.23571266325002171         4.5581141816620763E-003
   7.9999997979030013E-003    727.42089674688407        -24305.087486155877      ;  -23577.666589408993         19.875026605689232         1.5679764464106716E-031 ;  0.23531885777161524         6.2486697155383908E-003
   8.3999997877981514E-003    726.12112488591004        -24303.787829016059      ;  -23577.666704130148         19.839513465451287         1.3072441033771118E-031 ;  0.23490490080283871         8.0243267274356933E-003
   8.7999997776933014E-003    724.75929187776478        -24302.426238062966      ;  -23577.666946185200         19.802304653619736         5.0369857675296963E-031 ;  0.23447086713657053         9.8847673190132213E-003
   9.1999997675884515E-003    723.33564194726341        -24301.002189543869      ;  -23577.666547596607         19.763406843050308         1.2604617063192118E-031 ;  0.23401683595070286         1.1829657847484576E-002
   9.5999997574836016E-003    730.50062019933648        -24299.507263418145      ;  -23569.006643218810         19.959172642501475         6.2586118494559146E-032 ;  0.23633972999240332         2.0413678749262587E-003
   9.9999997473787516E-003    728.94429679042310        -24297.950668051682      ;  -23569.006371261261         19.916649848205157         7.5941134928675474E-031 ;  0.23584281817131378         4.1675075897421587E-003
   1.0399999737273902E-002    727.32620070057101        -24296.331787343559      ;  -23569.005586642987         19.872439263961297         3.7681651553887547E-031 ;  0.23532497278591191         6.3780368019351608E-003
   1.0799999727169052E-002    725.64662355009295        -24294.651936877537      ;  -23569.005313327445         19.826548857593615         2.8301500904582274E-031 ;  0.23478815159863073         8.6725571203192242E-003
   1.1199999717064202E-002    723.90586873896655        -24292.910652076072      ;  -23569.004783337106         19.778986918776837         5.0963012395617712E-031 ;  0.23423153885658127         1.1050654061158127E-002
   1.1599999706959352E-002    730.18304959108275        -24291.098791892433      ;  -23560.915742301349         19.950495789366713         9.5308857095342965E-031 ;  0.23626733045179843         2.4752105316643291E-003
   1.1999999696854502E-002    728.30996219655458        -24289.224917107938      ;  -23560.914954911383         19.899318180959373         1.0003264279872040E-030 ;  0.23566794389604376         5.0340909520313337E-003
   1.2399999686749652E-002    726.37596882213768        -24287.290391637322      ;  -23560.914422815185         19.846476463126326         1.2062186423711201E-031 ;  0.23504885397825689         7.6761768436837130E-003
