 The system contains         2916  particles.
 Time; Kinetic energy; Potential energy; Total energy; Calculated temperature; Mean momentum squared; Pressure; 
           1    954.80296351504523        -23339.550027835063      ;  -22384.747064320018         26.087694741680842         26.000000000000000         7.5249221809946168E-031   0.30928400645089460     
           1    1027.2652696565965        -23252.918631559940      ;  -22225.653361903343         28.067552990067217         28.000000000000000         1.9097320545723841E-030   0.33273519787098488     
           1    879.01019347039005        -23428.222178647891      ;  -22549.211985177502         24.016839576681953         24.000000000000000         2.5616386538528611E-030   0.28477609014946986     
           2    955.01929882033119        -23339.767770932587      ;  -22384.748472112256         26.093605583626044         26.000000000000000         1.7994004419537705E-031   0.30935513430324230     
           2    1027.5665241903935        -23253.219629984436      ;  -22225.653105794045         28.075784045706495         28.000000000000000         2.1782025939071884E-030   0.33283370586053335     
           2    879.12821779440026        -23428.341994855651      ;  -22549.213777061250         24.020064307495037         24.000000000000000         4.1259398937302990E-031   0.28481514914981970     
           1    812.66052739289864        -23513.485500389208      ;  -22700.824972996310         22.203994517561252         22.000000000000000         2.0905361914105052E-030   0.26330295000653892     
           3    955.23384482832842        -23339.981932597773      ;  -22384.748087769443         26.099467537325967         26.000000000000000         8.8637816528826787E-031   0.30942564265568934     
           3    1027.8660080527611        -23253.518601575866      ;  -22225.652593523104         28.083966722007315         28.000000000000000         1.3500640118543015E-030   0.33293159866673377     
           3    879.24450160518870        -23428.454566215143      ;  -22549.210064609953         24.023241482970157         24.000000000000000         1.2058041588705850E-031   0.28485360851142877     
           2    812.68768492059394        -23513.512401511973      ;  -22700.824716591378         22.204736531693516         22.000000000000000         6.5477168193870984E-031   0.26331266198449127     
           4    955.44659878459584        -23340.194813709906      ;  -22384.748214925312         26.105280527522144         26.000000000000000         1.5815985205071208E-030   0.30949553108498629     
           4    1028.1637168123962        -23253.817206061576      ;  -22225.653489249180         28.092100897894969         28.000000000000000         3.7398977083071947E-031   0.33302887285050331     
           4    879.35905016952586        -23428.566426331574      ;  -22549.207376162049         24.026371247009138         24.000000000000000         1.3033131297838222E-030   0.28488947997466318     
           3    812.71258230538831        -23513.539218239155      ;  -22700.826635933769         22.205416792856500         22.000000000000000         6.6985177614789315E-031   0.26332515498740622     
           5    955.65755931773811        -23340.405645926196      ;  -22384.748086608459         26.111044516744482         26.000000000000000         1.3898776599309883E-030   0.30956479960331101     
           5    1028.4596481506564        -23254.114416539342      ;  -22225.654768388686         28.100186510018130         28.000000000000000         2.3912718694480589E-031   0.33312134108727465     
           5    879.47187093057858        -23428.679630703205      ;  -22549.207759772627         24.029453802978626         24.000000000000000         2.9012472632814027E-030   0.28493216730077564     
           4    812.73522902791137        -23513.559304706501      ;  -22700.824075678589         22.206035560085610         22.000000000000000         2.6101385177517378E-031   0.26333331629119938     
           6    955.86672641836515        -23340.615580503247      ;  -22384.748854084883         26.116759504736429         26.000000000000000         1.3201537121857495E-030   0.30963344629842704     
           6    1028.7538015045727        -23254.407801633130      ;  -22225.654000128558         28.108223542995027         28.000000000000000         1.2185314506661267E-030   0.33321739731170019     
           6    879.58297450305997        -23428.789069313654      ;  -22549.206094810594         24.032489440900125         24.000000000000000         3.7650375958390637E-030   0.28496902679154529     
           5    812.75563562150535        -23513.580094210694      ;  -22700.824458589188         22.206593121179093         22.000000000000000         8.3886269628471476E-032   0.26334071595122821     
           7    956.07410314070182        -23340.825260465976      ;  -22384.751157325274         26.122425574947325         26.000000000000000         3.8236282556679579E-030   0.30970081977215869     
           7    1029.0461785261309        -23254.702353780915      ;  -22225.656175254782         28.116212041962200         28.000000000000000         8.5424536822221503E-031   0.33331283519453847     
